,Year,Sampling_Unit_Name,Longitude,Latitude,Cabassous tatouay,Canis familiaris,Cerdocyon thous,Cuniculus paca,Dasyprocta azarae,Dasypus ,Dasypus novemcinctus,Didelphis ,Didelphis albiventris,Didelphis aurita,Eira barbara,Equus ,Galictis cuja,Herpailurus yagouaroundi,Leopardus ,Leopardus guttulus,Leopardus pardalis,Leopardus wiedii,Lepus europaeus,Mazama ,Mazama gouazoubira,Mazama jucunda,Myrmecophaga tridactyla,Nasua nasua,Panthera onca,Pecari tajacu,Procyon cancrivorus,Puma concolor,Speothos venaticus,Sus scrofa,Tamandua tetradactyla,Tapirus terrestris,Tayassu pecari
49,2022,425,-47.592115,-24.033204,0,2,0,9,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,28,0
50,2022,429,-48.150542,-24.27174,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2022,441,-48.635802,-25.277269,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
52,2022,452,-48.219469,-25.276682,0,0,0,2,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,2022,457,-48.215754,-25.205249,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
54,2022,463,-48.583945,-24.436787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,2022,476,-48.975178,-25.805896,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
56,2022,486,-47.988805,-24.949793,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
57,2022,501,-47.451715,-24.021445,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
58,2022,504,-48.643828,-25.011149,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0
59,2022,517,-48.155585,-24.203623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
60,2022,536,-48.05815,-24.218092,0,5,2,2,0,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
61,2022,572,-48.924903,-25.424944,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
62,2022,582,-48.782318,-25.376675,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0
63,2022,583,-48.892057,-25.331596,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5
64,2022,590,-48.691008,-24.528208,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
65,2022,591,-48.637958,-25.210008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0
66,2022,595,-48.648272,-25.649996,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
67,2022,608,-48.551633,-24.634028,0,5,0,0,0,0,3,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
68,2022,609,-48.452267,-24.249808,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0
69,2022,620,-48.87043,-25.38443,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,2022,621,-47.311522,-23.861042,0,0,0,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0
71,2022,622,-48.860735,-25.851035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72,2022,630,-48.800515,-25.223392,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
73,2022,632,-47.879673,-24.080685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1
74,2022,651,-47.600275,-24.21537,0,0,0,0,0,0,6,2,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0
75,2022,653,-48.605284,-25.721839,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
76,2022,662,-48.53318,-25.592431,0,4,8,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0
77,2022,678,-49.064775,-25.757334,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,2022,686,-48.457694,-25.317706,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
